case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,old_launch_class,observed_chain_state,candidate_launch_class,transition,stable_across_seeds,seed_count,nearest_distance_min_m,nearest_distance_max_m,legacy_negative_control_alert,in_radius_fuze_blocked,terminal_track_residual_causes
kces_anchor_grid_cv_16km_p30deg,nonmaneuvering_constant_velocity,0.0,16.0,30.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013792065935450569,0.0013792065935450569,True,False,
kces_anchor_grid_cv_16km_p45deg,nonmaneuvering_constant_velocity,0.0,16.0,45.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013778773114455735,0.0013778773114455735,True,False,
kces_anchor_grid_cv_16km_p60deg,nonmaneuvering_constant_velocity,0.0,16.0,60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013948812775081538,0.0013948812775081538,True,False,
kces_anchor_grid_cv_16km_p75deg,nonmaneuvering_constant_velocity,0.0,16.0,75.0,O,outside_no_load,O,retain_O,True,3,13158.387328791705,13158.387328791705,False,False,
kces_anchor_grid_cv_16km_p90deg,nonmaneuvering_constant_velocity,0.0,16.0,90.0,O,outside_no_load,O,retain_O,True,3,16000.02534580756,16000.02534580756,False,False,
kces_anchor_grid_cv_4km_m15deg,nonmaneuvering_constant_velocity,0.0,4.0,-15.0,N,complete_effect_chain,N,retain_N,True,3,0.0013646080525311329,0.0013646080525311329,False,False,
kces_anchor_grid_cv_4km_m30deg,nonmaneuvering_constant_velocity,0.0,4.0,-30.0,N,complete_effect_chain,N,retain_N,True,3,0.0013720662808843096,0.0013720662808843096,False,False,
kces_anchor_grid_cv_4km_m45deg,nonmaneuvering_constant_velocity,0.0,4.0,-45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013931658301945674,0.0013931658301945674,False,False,
kces_anchor_grid_cv_4km_m60deg,nonmaneuvering_constant_velocity,0.0,4.0,-60.0,M,outside_no_load,O,demote_to_O,True,3,542.9527683863769,542.9527683863769,False,False,
kces_anchor_grid_cv_4km_m75deg,nonmaneuvering_constant_velocity,0.0,4.0,-75.0,M,outside_no_load,O,demote_to_O,True,3,3055.9151827696182,3055.9151827696182,False,False,
kces_anchor_grid_cv_4km_m90deg,nonmaneuvering_constant_velocity,0.0,4.0,-90.0,O,outside_no_load,O,retain_O,True,3,4000.101096665654,4000.101096665654,False,False,
kces_anchor_grid_cv_4km_p0deg,nonmaneuvering_constant_velocity,0.0,4.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0013624599288445817,0.0013624599288445817,False,False,
kces_anchor_grid_cv_4km_p15deg,nonmaneuvering_constant_velocity,0.0,4.0,15.0,N,complete_effect_chain,N,retain_N,True,3,0.0013621834825017208,0.0013621834825017208,False,False,
kces_anchor_grid_cv_4km_p30deg,nonmaneuvering_constant_velocity,0.0,4.0,30.0,N,complete_effect_chain,N,retain_N,True,3,0.0013668505833216256,0.0013668505833216256,False,False,
kces_anchor_grid_cv_4km_p45deg,nonmaneuvering_constant_velocity,0.0,4.0,45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013873437514377823,0.0013873437514377823,False,False,
kces_anchor_grid_cv_4km_p60deg,nonmaneuvering_constant_velocity,0.0,4.0,60.0,M,outside_no_load,O,demote_to_O,True,3,542.9527796211833,542.9527796211833,False,False,
kces_anchor_grid_cv_4km_p75deg,nonmaneuvering_constant_velocity,0.0,4.0,75.0,M,outside_no_load,O,demote_to_O,True,3,3055.9152361939014,3055.9152361939014,False,False,
kces_anchor_grid_cv_4km_p90deg,nonmaneuvering_constant_velocity,0.0,4.0,90.0,O,outside_no_load,O,retain_O,True,3,4000.1012108096947,4000.1012108096947,False,False,
kces_anchor_grid_cv_6km_m15deg,nonmaneuvering_constant_velocity,0.0,6.0,-15.0,N,complete_effect_chain,N,retain_N,True,3,0.0013711809802276385,0.0013711809802276385,False,False,
kces_anchor_grid_cv_6km_m30deg,nonmaneuvering_constant_velocity,0.0,6.0,-30.0,N,complete_effect_chain,N,retain_N,True,3,0.0014003820657301845,0.0014003820657301845,False,False,
kces_anchor_grid_cv_6km_m45deg,nonmaneuvering_constant_velocity,0.0,6.0,-45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.001415950266404028,0.001415950266404028,False,False,
kces_anchor_grid_cv_6km_m60deg,nonmaneuvering_constant_velocity,0.0,6.0,-60.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013987655603614427,0.0013987655603614427,False,False,
kces_anchor_grid_cv_6km_m75deg,nonmaneuvering_constant_velocity,0.0,6.0,-75.0,O,outside_no_load,O,retain_O,True,3,4595.196123500637,4595.196123500637,False,False,
kces_anchor_grid_cv_6km_m90deg,nonmaneuvering_constant_velocity,0.0,6.0,-90.0,O,outside_no_load,O,retain_O,True,3,6000.067379225996,6000.067379225996,False,False,
kces_anchor_grid_cv_6km_p0deg,nonmaneuvering_constant_velocity,0.0,6.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0013622695947458168,0.0013622695947458168,False,False,
kces_anchor_grid_cv_6km_p15deg,nonmaneuvering_constant_velocity,0.0,6.0,15.0,N,complete_effect_chain,N,retain_N,True,3,0.001366590681505782,0.001366590681505782,False,False,
