aspect_bucket,bearing_deg,case_group,case_id,clamp_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_heading_velocity_error_deg,max_apn_g,max_capture_g,max_component_sum_error_mps2,max_los_rate_rad_s,max_pn_g,max_postclamp_g,max_preclamp_g,nearest_approach_time_s,nearest_distance_m,offset_deg,pn_source_counts,profile,range_km,rho_fuze,target_kinematics_source_counts,trace_sample_count,variant_id
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.025157232704402517,False,O,-23.203513305800445,-8.759210962543358,0.07035689026813663,99.70159084433931,0.0,668.0237076861254,5.684341886080802e-14,0.9518117476174134,279.364893173175,35.0,388.6588145129503,13.216607713618309,24.801849860661815,45.0,"{""2"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 2}",12.0,1.6534566573774543,"{""0"": 1, ""1"": 158}",159,history_track_velocity_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.024691358024691357,False,O,-23.601107098882647,-8.85296664961416,0.07174659337279785,101.15522171259686,0.0,717.7832078761201,5.123796534383003e-14,0.8227306818191856,231.5860383076552,35.0,717.7832078761201,13.47533076778221,25.20699153738398,45.0,"{""0"": 1, ""3"": 161}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 3}",12.0,1.6804661024922654,"{""0"": 1, ""1"": 161}",162,analytic_track_quadratic_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.03067484662576687,False,O,-25.88113820272124,-10.20186578155746,0.07672818667049107,100.07093398703584,0.0,851.263388663422,4.0194366942304644e-14,0.6835815595007453,195.67571703110372,35.0,851.263388663422,13.50900936125804,27.81936856414812,45.0,"{""0"": 2, ""3"": 161}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 3}",12.0,1.854624570943208,"{""0"": 2, ""1"": 161}",163,analytic_track_velocity_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.032467532467532464,False,O,-15.947451044469373,-4.343395969136077,0.05495635859100033,100.82342026314952,0.0,1840.6623974045974,9.094947017729282e-13,29.11280055932933,3058.0920222313475,35.0,4898.754419635945,12.762399400948274,16.52843923550657,45.0,"{""3"": 154}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 1, ""pn_mode"": 3}",12.0,1.1018959490337714,"{""2"": 154}",154,analytic_truth_velocity_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.032467532467532464,False,O,-15.947451044469373,-4.343395969136077,0.05495635859100033,100.82342026314952,0.0,1840.6623974045974,9.094947017729282e-13,29.11280055932933,3058.0920222313475,35.0,4898.754419635945,12.762399400948274,16.52843923550657,45.0,"{""3"": 154}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 2, ""pn_mode"": 3}",12.0,1.1018959490337714,"{""2"": 154}",154,analytic_truth_quadratic_no_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.032467532467532464,False,O,-15.947451044469373,-4.343395969136077,0.05495635859100033,100.82342026314952,0.0,1840.6623974045974,9.094947017729282e-13,29.11280055932933,3058.0920222313475,35.0,4898.754419635945,12.762399400948274,16.52843923550657,45.0,"{""3"": 154}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 1, ""pn_mode"": 3}",12.0,1.1018959490337714,"{""2"": 154}",154,analytic_truth_velocity_apn
tail,-45.0,O_near,guidance_exact_cv_12km_m45deg,0.031446540880503145,False,O,-32.391132460295836,-3.9625594005596487,0.12811507038733363,110.02664732131362,0.0,954.5883322864943,4.687428401686771e-13,0.5688336164536177,55.86156599718188,35.0,898.7267662893125,13.23749938398574,32.6328630759651,45.0,"{""1"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 1, ""pn_mode"": 0}",12.0,2.17552420506434,"{""2"": 159}",159,legacy_truth_velocity_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.032467532467532464,False,O,-44.746118167228154,18.608421709974657,0.26515635878123933,99.48201459072129,2.2447064368605574,592.5537507700408,7.766580702032364e-13,0.6643103046060137,30.97474335667871,35.0,617.4673227202071,12.821203994193025,48.461931012562566,45.0,"{""1"": 154}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,3.2307954008375046,"{""0"": 2, ""1"": 152}",154,legacy_full_track_quadratic
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.0,False,O,-282.2387502570773,126.00308291092136,1.6970411912691137,89.35718249044679,1.478264918365262,0.0,2.735553542559731e-13,0.3067941034699027,26.207436453624975,27.37706679536402,27.37706679536402,14.583918532083784,309.0928161548532,45.0,"{""0"": 5, ""1"": 171}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,20.606187743656882,"{""0"": 13, ""1"": 163}",176,legacy_no_capture
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.015625,False,O,-547.4569021334904,258.1936029491262,3.3412343238451814,100.3728639423844,1.1582959220621167,75.82684682522944,3.457235211735345e-14,0.0,0.0,35.0,75.82684682522944,15.94213977230029,605.2967537863191,45.0,"{""0"": 192}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 1}",12.0,40.35311691908794,"{""0"": 30, ""1"": 162}",192,legacy_no_pn
