case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,seed_count,complete_effect_chain_count,in_radius_fuze_blocked_count,outside_no_load_count,chain_states,outcome_states,nearest_distance_min_m,nearest_distance_max_m,nearest_distance_spread_m,terminal_track_residual_causes,max_seeker_fov_excess_deg,max_detection_fov_excess_deg,structural_consistent,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_16km_p45deg,nonmaneuvering_constant_velocity,0.0,16.0,45.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013778773114455735,0.0013778773114455735,0.0,[],28.46224958128161,28.472281490025594,True,False,True,False
kces_anchor_grid_cv_16km_p60deg,nonmaneuvering_constant_velocity,0.0,16.0,60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013948812775081538,0.0013948812775081538,0.0,[],0.07838810567382382,0.07837829291376863,True,False,True,False
kces_anchor_grid_cv_16km_p75deg,nonmaneuvering_constant_velocity,0.0,16.0,75.0,O,3,0,0,3,['outside_no_load'],[''],13158.387328791705,13158.387328791705,0.0,[],3.0868694906003356,26.057403184761597,True,False,False,False
kces_anchor_grid_cv_16km_p90deg,nonmaneuvering_constant_velocity,0.0,16.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],16000.02534580756,16000.02534580756,0.0,[],0.0,69.89588874242139,True,False,False,False
kces_anchor_grid_cv_4km_m15deg,nonmaneuvering_constant_velocity,0.0,4.0,-15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013646080525311329,0.0013646080525311329,0.0,[],71.71181135148606,71.71379133199036,True,False,False,False
kces_anchor_grid_cv_4km_m30deg,nonmaneuvering_constant_velocity,0.0,4.0,-30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013720662808843096,0.0013720662808843096,0.0,[],52.9394377726567,52.94238358504376,True,False,False,False
kces_anchor_grid_cv_4km_m45deg,nonmaneuvering_constant_velocity,0.0,4.0,-45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013931658301945674,0.0013931658301945674,0.0,[],31.312639572938437,31.321683499351508,True,False,False,False
kces_anchor_grid_cv_4km_m60deg,nonmaneuvering_constant_velocity,0.0,4.0,-60.0,M,3,0,0,3,['outside_no_load'],[''],542.9527683863769,542.9527683863769,0.0,[],7.193374714446591,75.59956656459761,True,False,False,False
kces_anchor_grid_cv_4km_m75deg,nonmaneuvering_constant_velocity,0.0,4.0,-75.0,M,3,0,0,3,['outside_no_load'],[''],3055.9151827696182,3055.9151827696182,0.0,[],11.001932954663303,38.67567281786256,True,False,False,False
kces_anchor_grid_cv_4km_m90deg,nonmaneuvering_constant_velocity,0.0,4.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],4000.101096665654,4000.101096665654,0.0,[],0.0,84.77157617901156,True,False,False,False
kces_anchor_grid_cv_4km_p0deg,nonmaneuvering_constant_velocity,0.0,4.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013624599288445817,0.0013624599288445817,0.0,[],90.0,90.0,True,False,False,False
kces_anchor_grid_cv_4km_p15deg,nonmaneuvering_constant_velocity,0.0,4.0,15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013621834825017208,0.0013621834825017208,0.0,[],71.71181135148493,71.71379133199036,True,False,False,False
kces_anchor_grid_cv_4km_p30deg,nonmaneuvering_constant_velocity,0.0,4.0,30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013668505833216256,0.0013668505833216256,0.0,[],52.93943777266051,52.94238358504808,True,False,False,False
kces_anchor_grid_cv_4km_p45deg,nonmaneuvering_constant_velocity,0.0,4.0,45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013873437514377823,0.0013873437514377823,0.0,[],31.312639572938437,31.321683499351508,True,False,False,False
kces_anchor_grid_cv_4km_p60deg,nonmaneuvering_constant_velocity,0.0,4.0,60.0,M,3,0,0,3,['outside_no_load'],[''],542.9527796211833,542.9527796211833,0.0,[],7.193374714446591,75.59956656459761,True,False,False,False
kces_anchor_grid_cv_4km_p75deg,nonmaneuvering_constant_velocity,0.0,4.0,75.0,M,3,0,0,3,['outside_no_load'],[''],3055.9152361939014,3055.9152361939014,0.0,[],11.001932954663303,38.67567281786256,True,False,False,False
kces_anchor_grid_cv_4km_p90deg,nonmaneuvering_constant_velocity,0.0,4.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],4000.1012108096947,4000.1012108096947,0.0,[],0.0,84.77157617901156,True,False,False,False
kces_anchor_grid_cv_6km_m15deg,nonmaneuvering_constant_velocity,0.0,6.0,-15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013711809802276385,0.0013711809802276385,0.0,[],71.47853353925709,71.48155921920912,True,False,False,False
kces_anchor_grid_cv_6km_m30deg,nonmaneuvering_constant_velocity,0.0,6.0,-30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014003820657301845,0.0014003820657301845,0.0,[],52.434091674297576,52.43880550454904,True,False,False,False
kces_anchor_grid_cv_6km_m45deg,nonmaneuvering_constant_velocity,0.0,6.0,-45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001415950266404028,0.001415950266404028,0.0,[],31.583136657302106,31.5895895189678,True,False,False,False
kces_anchor_grid_cv_6km_m60deg,nonmaneuvering_constant_velocity,0.0,6.0,-60.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013987655603614427,0.0013987655603614427,0.0,[],0.5766934322999617,0.5895352534464138,True,False,False,False
kces_anchor_grid_cv_6km_m75deg,nonmaneuvering_constant_velocity,0.0,6.0,-75.0,O,3,0,0,3,['outside_no_load'],[''],4595.196123500637,4595.196123500637,0.0,[],7.8409692122685755,35.78357221771476,True,False,False,False
kces_anchor_grid_cv_6km_m90deg,nonmaneuvering_constant_velocity,0.0,6.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],6000.067379225996,6000.067379225996,0.0,[],0.0,82.18436212366768,True,False,False,False
kces_anchor_grid_cv_6km_p0deg,nonmaneuvering_constant_velocity,0.0,6.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013622695947458168,0.0013622695947458168,0.0,[],90.0,90.0,True,False,False,False
kces_anchor_grid_cv_6km_p15deg,nonmaneuvering_constant_velocity,0.0,6.0,15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001366590681505782,0.001366590681505782,0.0,[],71.47853353925709,71.48155921920912,True,False,False,False
kces_anchor_grid_cv_6km_p30deg,nonmaneuvering_constant_velocity,0.0,6.0,30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013926980855049674,0.0013926980855049674,0.0,[],52.43409167429476,52.438805504547986,True,False,False,False
kces_anchor_grid_cv_6km_p45deg,nonmaneuvering_constant_velocity,0.0,6.0,45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014098320700831283,0.0014098320700831283,0.0,[],31.583136657302106,31.5895895189678,True,False,False,False
kces_anchor_grid_cv_6km_p60deg,nonmaneuvering_constant_velocity,0.0,6.0,60.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013986641330858444,0.0013986641330858444,0.0,[],0.5766934322999617,0.5895352534464138,True,False,False,False
kces_anchor_grid_cv_6km_p75deg,nonmaneuvering_constant_velocity,0.0,6.0,75.0,O,3,0,0,3,['outside_no_load'],[''],4595.196165135834,4595.196165135834,0.0,[],7.8409692122685755,35.78357221771476,True,False,False,False
