case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,maneuver_onset_time_s,nearest_distance_m,entered_R_fuze,nearest_approach_time_s,estimator_first_valid_time_s,estimator_convergence_time_s,time_to_go_at_estimator_valid_s,time_to_go_at_estimator_convergence_s,apn_first_nonzero_time_s,time_to_go_at_first_apn_s,trace_sample_count,trace_dt_s,max_pn_acceleration_mps2,rms_pn_acceleration_mps2,pn_impulse_mps,max_apn_acceleration_mps2,rms_apn_acceleration_mps2,apn_impulse_mps,apn_to_pn_impulse_ratio,max_component_sum_error_mps2,resolved_runtime_mismatch,nearest_distance_delta_vs_apn0_m
p10_null_r8_bm60_am8_g0p25_s20260621,8.0,-60.0,-8.0,0.25,20260621,0.0,0.001470747502524843,True,16.691313166423424,3.0166666666666666,3.1166666666666667,13.674646499756758,13.574646499756756,3.0166666666666666,13.674646499756758,1001,0.016666666666666607,388.3053337178473,147.58112715282567,1519.819028403785,0.46994350721176864,0.1746402734891736,2.077231777269575,0.00136676258057594,3.9668116802366786e-14,{},5.4076366941500096e-05
p10_null_r8_bm60_am8_g0p25_s20260622,8.0,-60.0,-8.0,0.25,20260622,0.0,0.001470747502524843,True,16.691313166423424,3.0166666666666666,3.1166666666666667,13.674646499756758,13.574646499756756,3.0166666666666666,13.674646499756758,1001,0.016666666666666607,388.3053337178473,147.58112715282567,1519.819028403785,0.46994350721176864,0.1746402734891736,2.077231777269575,0.00136676258057594,3.9668116802366786e-14,{},5.4076366941500096e-05
p10_null_r8_bm60_am8_g0p25_s20260623,8.0,-60.0,-8.0,0.25,20260623,0.0,0.001470747502524843,True,16.691313166423424,3.0166666666666666,3.1166666666666667,13.674646499756758,13.574646499756756,3.0166666666666666,13.674646499756758,1001,0.016666666666666607,388.3053337178473,147.58112715282567,1519.819028403785,0.46994350721176864,0.1746402734891736,2.077231777269575,0.00136676258057594,3.9668116802366786e-14,{},5.4076366941500096e-05
p10_null_r8_bm60_am8_g0p5_s20260621,8.0,-60.0,-8.0,0.5,20260621,0.0,0.0014246537082533246,True,16.699035293911376,3.0166666666666666,3.1166666666666667,13.68236862724471,13.582368627244708,3.0166666666666666,13.68236862724471,1001,0.016666666666666607,388.3053337178473,147.52195988426803,1517.286704483506,0.9398955311179475,0.350042341462783,4.181094811982731,0.002755639260284695,2.9865824795637685e-14,{},7.982572669981659e-06
p10_null_r8_bm60_am8_g0p5_s20260622,8.0,-60.0,-8.0,0.5,20260622,0.0,0.0014246537082533246,True,16.699035293911376,3.0166666666666666,3.1166666666666667,13.68236862724471,13.582368627244708,3.0166666666666666,13.68236862724471,1001,0.016666666666666607,388.3053337178473,147.52195988426803,1517.286704483506,0.9398955311179475,0.350042341462783,4.181094811982731,0.002755639260284695,2.9865824795637685e-14,{},7.982572669981659e-06
p10_null_r8_bm60_am8_g0p5_s20260623,8.0,-60.0,-8.0,0.5,20260623,0.0,0.0014246537082533246,True,16.699035293911376,3.0166666666666666,3.1166666666666667,13.68236862724471,13.582368627244708,3.0166666666666666,13.68236862724471,1001,0.016666666666666607,388.3053337178473,147.52195988426803,1517.286704483506,0.9398955311179475,0.350042341462783,4.181094811982731,0.002755639260284695,2.9865824795637685e-14,{},7.982572669981659e-06
p10_null_r8_bp60_ap8_g0_s20260621,8.0,60.0,8.0,0.0,20260621,0.0,0.0013869365067861919,True,16.683623333140247,3.0166666666666666,3.1166666666666667,13.666956666473581,13.56695666647358,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bp60_ap8_g0_s20260622,8.0,60.0,8.0,0.0,20260622,0.0,0.0013869365067861919,True,16.683623333140247,3.0166666666666666,3.1166666666666667,13.666956666473581,13.56695666647358,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bp60_ap8_g0_s20260623,8.0,60.0,8.0,0.0,20260623,0.0,0.0013869365067861919,True,16.683623333140247,3.0166666666666666,3.1166666666666667,13.666956666473581,13.56695666647358,,,1001,0.016666666666666607,388.3053337178473,147.64031429986926,1522.3179315365692,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r8_bp60_ap8_g0p125_s20260621,8.0,60.0,8.0,0.125,20260621,0.0,0.0014145202949789526,True,16.68746457627803,3.0166666666666666,3.1166666666666667,13.670797909611363,13.570797909611361,3.0166666666666666,13.670797909611363,1001,0.016666666666666607,388.3053337178473,147.61071840695652,1521.072631400156,0.2349706890441804,0.08722618704484741,1.0353066001774038,0.0006806424484966232,3.956228234393646e-14,{},2.7583788192760703e-05
p10_null_r8_bp60_ap8_g0p125_s20260622,8.0,60.0,8.0,0.125,20260622,0.0,0.0014145202949789526,True,16.68746457627803,3.0166666666666666,3.1166666666666667,13.670797909611363,13.570797909611361,3.0166666666666666,13.670797909611363,1001,0.016666666666666607,388.3053337178473,147.61071840695652,1521.072631400156,0.2349706890441804,0.08722618704484741,1.0353066001774038,0.0006806424484966232,3.956228234393646e-14,{},2.7583788192760703e-05
