classification_reason,diagnostics_profile_attached,existing_8_neighbor_count,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,neighbor_mixed_count,neighbor_robust_hit_count,neighbor_robust_miss_count,offset_deg,range_km,reclassified_launch_class,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,within_boundary_rho_band
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,17.6642786997114,0.0,0.0,4.5126129825947235e-06,3.00840865506314e-07,17.671907874527843,17.671907874527843,0.0,0.0,0.9999084329593165,True,0.0013735056102519867,0.0013712493037606893,0.001368992997269392,0,8,0,20.0,14.0,N,[],True,9.156704068346578e-05,9.141662025071263e-05,9.141662025071261e-05,9.126619981795946e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,20.298426148624372,0.0,0.0,3.867377175739272e-06,2.578251450492875e-07,20.30695775330888,20.30695775330888,0.0,0.0,0.9999085523914776,True,0.0013717141278365317,0.001369780439248662,0.0013678467506607925,0,8,0,25.0,14.0,N,[],True,9.144760852243545e-05,9.131869594991081e-05,9.13186959499108e-05,9.118978337738616e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,22.680308936897845,0.0,0.0,5.667651632894344e-06,3.778434421929463e-07,22.68987475904242,22.68987475904242,0.0,0.0,0.9999076763174563,True,0.0013848552381564739,0.0013820214123400267,0.0013791875865235795,0,8,0,30.0,14.0,N,[],True,9.232368254376492e-05,9.213476082266844e-05,9.213476082266844e-05,9.194583910157197e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,24.83656429112915,0.0,0.0,5.119392997362344e-06,3.41292866490813e-07,24.846401072404923,24.846401072404923,0.0,0.0,0.9999076444886109,True,0.0013853326708363615,0.0013827729743376802,0.0013802132778389991,0,8,0,35.0,14.0,N,[],True,9.235551138909076e-05,9.218486495584536e-05,9.218486495584535e-05,9.201421852259995e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,26.76391105705487,0.0,0.0,3.6751983443137053e-06,2.450132229542479e-07,26.774123141140223,26.774123141140223,0.0,0.0,0.9999080942948432,True,0.001378585577352991,0.0013767479781808343,0.0013749103790086773,0,8,0,40.0,14.0,N,[],True,9.190570515686607e-05,9.178319854538895e-05,9.178319854538894e-05,9.166069193391182e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,28.452214373473872,0.0,0.0,3.962117660486321e-06,2.641411773657466e-07,28.462310212441192,28.462310212441192,0.0,0.0,0.9999072340069445,True,0.0013914898958334136,0.0013895088370031704,0.0013875277781729273,0,8,0,45.0,14.0,N,[],True,9.27659930555609e-05,9.263392246687802e-05,9.263392246687804e-05,9.250185187819516e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,29.878800787921712,0.0,0.0,3.294912854028085e-06,2.1966085693520747e-07,29.8880326486278,29.8880326486278,0.0,0.0,0.9999064284556186,True,0.0014035731657215283,0.0014019257092945144,0.0014002782528675002,0,8,0,50.0,14.0,N,[],True,9.357154438143522e-05,9.346171395296762e-05,9.346171395296762e-05,9.335188352450002e-05,robust_hit,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,6,30.991272605407097,0.0,0.0,1.553756065207244e-06,1.0358373768048926e-07,30.99896123489255,30.99896123489255,0.0,0.0,0.9999065553555435,True,0.0014016696668471048,0.0014008927888145013,0.0014001159107818976,0,7,1,55.0,14.0,M,[],True,9.344464445647365e-05,9.33928525876334e-05,9.339285258763342e-05,9.334106071879317e-05,robust_hit,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,6,31.704068306113317,0.0,0.0,1.0471913531873156e-06,6.981275690876032e-08,31.710962074520577,31.710962074520577,0.0,0.0,0.4722118516793382,True,7.916822224809926,7.91682170121425,7.916821177618573,0,4,4,60.0,14.0,M,[],True,0.5277881483206618,0.5277881134142833,0.5277881134142833,0.5277880785079049,robust_hit,6,3,2,False
mixed_or_adjacent_to_a_different_robust_state,False,8,main,0,31.475887882711316,0.0,0.0,2.1974341507302597e-05,1.4649561421720136e-06,31.552549730891407,31.552549730891407,0.0,0.0,278.4268668655616,True,4191.403024957765,4191.403013970595,4191.403002983424,0,2,6,65.0,14.0,M,[],True,279.4268683305177,279.4268675980397,279.4268675980396,279.4268668655616,robust_miss,6,3,2,False
